Designator,Mid X,Mid Y,Rotation,Layer
D10,65.686099,-86.393286,6.0,bottom
D11,63.957409,-103.319005,6.0,bottom
D12,62.182702,-120.204246,6.0,bottom
D13,86.197906,-85.455646,10.0,bottom
D14,83.346297,-102.203817,10.0,bottom
D15,80.295515,-118.929747,10.0,bottom
D17,104.262813,-92.836481,12.0,bottom
D18,100.726196,-109.474949,12.0,bottom
D19,97.189902,-126.111923,12.0,bottom
D20,94.844334,-132.510874,282.0,bottom
D22,121.768747,-96.571796,12.0,bottom
D23,118.235371,-113.195018,12.0,bottom
D24,114.69923,-129.831263,12.0,bottom
D25,116.950475,-137.209676,282.0,bottom
D26,165.188225,-99.51071,168.0,bottom
D27,168.663221,-116.135705,168.0,bottom
D28,172.243464,-132.772092,168.0,bottom
D29,167.578511,-139.83691,258.0,bottom
D32,179.613221,-96.46071,168.0,bottom
D33,183.113222,-113.085708,168.0,bottom
D34,186.638228,-129.685714,168.0,bottom
D35,189.684647,-135.138107,258.0,bottom
D36,200.518462,-87.936098,170.0,bottom
D37,203.474418,-104.671705,170.0,bottom
D38,206.401466,-121.418094,170.0,bottom
D39,220.848468,-87.895098,174.0,bottom
D40,222.638982,-104.804808,174.0,bottom
D41,224.394467,-121.712099,174.0,bottom
D44,242.196467,-91.376097,180.0,bottom
D45,242.175468,-108.37109,180.0,bottom
D46,242.172463,-125.366095,180.0,bottom
D47,237.268468,-128.197098,180.0,bottom
D5,44.368472,-91.397095,0.0,bottom
D6,44.368469,-108.397094,0.0,bottom
D7,44.368464,-125.397098,0.0,bottom
D8,63.468466,-128.047096,0.0,bottom
SW1,179.68,-70.354,180.0,bottom
SW10,92.107442,-94.345516,10.0,bottom
SW11,89.155416,-111.087248,10.0,bottom
SW12,113.327854,-85.297707,12.0,bottom
SW13,109.793346,-101.926212,12.0,bottom
SW14,106.258841,-118.55475,12.0,bottom
SW15,101.58086,-140.563042,12.0,bottom
SW16,130.934494,-89.040066,12.0,bottom
SW17,127.399982,-105.668608,12.0,bottom
SW18,123.865533,-122.297106,12.0,bottom
SW19,123.589199,-145.24107,12.0,bottom
SW2,51.618471,-82.063534,0.0,bottom
SW20,169.802391,-89.040128,348.0,bottom
SW21,173.336889,-105.668634,348.0,bottom
SW22,176.8714,-122.297143,348.0,bottom
SW23,177.147752,-145.241057,348.0,bottom
SW24,187.409054,-85.297704,348.0,bottom
SW25,190.943548,-101.926215,348.0,bottom
SW26,194.478046,-118.554723,348.0,bottom
SW27,199.156068,-140.563049,348.0,bottom
SW28,205.677478,-77.603784,350.0,bottom
SW29,208.629495,-94.345512,350.0,bottom
SW3,51.618467,-99.063544,0.0,bottom
SW30,211.581515,-111.087244,350.0,bottom
SW31,226.752808,-77.940554,354.0,bottom
SW32,228.529793,-94.847429,354.0,bottom
SW33,230.306777,-111.754299,354.0,bottom
SW34,249.11846,-82.063541,0.0,bottom
SW35,249.118463,-99.063539,0.0,bottom
SW36,249.118463,-116.06354,0.0,bottom
SW37,244.618466,-138.563542,0.0,bottom
SW38,162.07,-72.704,90.0,bottom
SW4,51.618466,-116.063542,0.0,bottom
SW5,56.118464,-138.563542,180.0,bottom
SW6,73.984101,-77.940552,6.0,bottom
SW7,72.207135,-94.847469,6.0,bottom
SW8,70.430156,-111.754328,6.0,bottom
SW9,95.059479,-77.603787,10.0,bottom
